"area","Rtlower","Rtmedian","Rtupper","Cprojlower","Cprojmedian","Cprojupper"
"Barking and Dagenham",0.548244742906013,0.803603007085891,1.1444487325782,0.19482139428661,0.670321162748059,2.38373516655809
"Barnet",0.585458811682128,0.851095211975684,1.26920577435189,0.231384877284333,0.777886430370173,3.31051971977949
"Barnsley",0.505290020403056,0.679373097337175,0.89230098735434,1.11780910829296,2.81577374378294,7.08562758925491
"Bath and North East Somerset",0.480193476632024,0.786510486228225,1.23977232386679,0.000956387928603544,0.00506732852048248,0.0287853689404948
"Bedford",0.535709921218269,0.731572113342222,0.988693130887141,0.735427592255878,1.95585136826294,5.49520946725874
"Bexley",0.534044763872367,0.78886366508228,1.12557695726188,0.192668079812211,0.658192795109547,2.29134434561008
"Birmingham",0.613726421642184,0.807885131945031,1.06001286117951,2.15571164739686,5.23718591270887,13.5371512608896
"Blackburn with Darwen",0.650732907673525,0.870908560926021,1.18947593380241,1.53713385697985,3.96878413336678,12.0228809045315
"Blackpool",0.493442985964153,0.73913220913028,1.05430009908787,0.204677584166244,0.72036943526759,2.47529182145999
"Bolton",0.588010705301778,0.785179202049344,1.03686643430539,1.25002121670917,3.20367273780173,8.54520362292201
"Bournemouth, Christchurch and Poole",0.473445223989997,0.777497343443346,1.21428686245361,0.0568511833816102,0.267179089687926,1.31348147966177
"Bracknell Forest",0.511263408724083,0.799591202467473,1.19792058986547,0.0535966171585914,0.217844323784817,0.913945891416686
"Bradford",0.589755001153471,0.747072050962258,0.965896866068632,5.48972096898356,11.7605347094842,28.5920160062025
"Brent",0.512490060662503,0.756356919710557,1.06268702394434,0.208223414920636,0.715579326912771,2.36799415259598
"Brighton and Hove",0.515725427529584,0.781483567357727,1.13739286377585,0.183657796520185,0.67745449163515,2.54007338744731
"Bristol, City of",0.520943913534755,0.800583135132185,1.17986213319495,0.173921848297962,0.678632881063088,2.7042091037907
"Bromley",0.54064338150051,0.823466703841854,1.2441730660201,0.112412687480352,0.428641426622668,1.88511464699683
"Buckinghamshire",0.653544027607581,0.890294442104629,1.24634856577045,1.06001009884406,2.92499680672024,9.84445814922626
"Bury",0.570662632668871,0.80428242458232,1.1250145016154,0.38351411171349,1.14854223949156,3.7517271354856
"Calderdale",0.614311279287138,0.845340729575786,1.17822608073711,0.811108554753056,2.33647803429859,7.81217920491457
"Cambridgeshire",0.50373047699704,0.701156860971762,0.962969558300444,0.405229541471758,1.12191251349675,3.28265192004184
"Camden",0.495424482668632,0.763674011198348,1.10883256165598,0.0430761896198522,0.168443779106249,0.629642057946454
"Central Bedfordshire",0.47377989797777,0.688082309057757,0.936285578291876,0.26473550570221,0.8285407847485,2.34247047850907
"Cheshire East",0.461034628244113,0.661455325530282,0.890167786627908,0.350827065514035,1.07084301606305,2.93303142488828
"Cheshire West and Chester",0.632888945254074,0.858974055500776,1.15555337515669,1.23394900173991,3.38479257625618,9.85089049159164
"Cornwall and Isles of Scilly",0.401803186024487,0.747840791724972,1.27625996637484,0.072900568192253,0.456292375944116,2.9588901872794
"County Durham",0.380413436984486,0.580743769262791,0.820491995279133,0.102663187635926,0.361350017918867,1.13572109482019
"Coventry",0.526750160352564,0.777728708794577,1.11274295385131,0.173089161734601,0.590112840050825,2.07332545730653
"Croydon",0.497813818722907,0.753012341276415,1.06331841533327,0.11751407207019,0.431481641597869,1.44574544292397
"Cumbria",0.687491141734001,0.978100374397167,1.42201918787685,1.24769398084856,4.116793230672,16.8097963351751
"Darlington",0.362073528121167,0.590595006590488,0.92058483644987,0.00783986987237707,0.0337438493885599,0.152381990773839
"Derby",0.493642885225161,0.696824568235783,0.938286199559216,0.42421731587431,1.24048040608537,3.42401235481444
"Derbyshire",0.532281488962392,0.718352385649401,0.944680602303003,0.941169138246476,2.41479930811788,6.15051021199457
"Devon",0.489483079198629,0.80934903663746,1.30347639651241,0.118634573069009,0.563656706767304,3.09605193962968
"Doncaster",0.476756449422696,0.649254129292324,0.874300273756069,0.627658973783221,1.61023674212038,4.33708682701553
