,CODE,AREA,POPULATION,DENSITY,SQUARE_KM_AREA,LAT,LONG
82,E10000020,Norfolk,907760.0,169.0,5384.0,52.67123,0.964714
83,E10000029,Suffolk,761350.0,200.0,3800.0,52.253849,1.04919
84,E09000007,Camden,270029.0,12393.0,22.0,51.54306,-0.16289
85,E09000001,City of London,9721.0,3361.0,3.0,51.515652,-0.09353
86,E09000012,Hackney,281120.0,14758.0,19.0,51.55492,-0.06045
87,E09000013,Hammersmith and Fulham,185143.0,11287.0,16.0,51.487331,-0.21735
88,E09000014,Haringey,268647.0,9076.0,30.0,51.587711,-0.10667
89,E09000019,Islington,242467.0,16321.0,15.0,51.545479,-0.10992
90,E09000020,Kensington and Chelsea,156129.0,12876.0,12.0,51.496441,-0.18976
91,E09000022,Lambeth,326034.0,12156.0,27.0,51.464451,-0.11385
92,E09000023,Lewisham,305842.0,8702.0,35.0,51.44231,-0.01733
93,E09000025,Newham,353134.0,9756.0,36.0,51.531471,0.027289
94,E09000028,Southwark,318830.0,11045.0,29.0,51.465919,-0.07306
95,E09000030,Tower Hamlets,324745.0,16427.0,20.0,51.515541,-0.03643
96,E09000032,Wandsworth,329677.0,9624.0,34.0,51.4524,-0.20023
97,E09000033,Westminster,261317.0,12167.0,21.0,51.512199,-0.15295
98,E09000002,Barking and Dagenham,212906.0,5898.0,36.0,51.545551,0.129479
99,E09000003,Barnet,395869.0,4563.0,87.0,51.61108,-0.21821
100,E09000004,Bexley,248287.0,4099.0,61.0,51.458229,0.146227
101,E09000005,Brent,329771.0,7628.0,43.0,51.564411,-0.27568
102,E09000006,Bromley,332336.0,2214.0,150.0,51.372669,0.039246
103,E09000008,Croydon,386710.0,4471.0,86.0,51.365978,-0.07761
104,E09000009,Ealing,341806.0,6154.0,56.0,51.524429,-0.31407
105,E09000010,Enfield,333794.0,4130.0,81.0,51.64888,-0.08147
106,E09000011,Greenwich,287942.0,6086.0,47.0,51.463928,0.050107
107,E09000015,Harrow,251160.0,4977.0,50.0,51.594669,-0.33603
108,E09000016,Havering,259552.0,2310.0,112.0,51.565189,0.235368
109,E09000017,Hillingdon,306870.0,2652.0,116.0,51.536629,-0.44182
110,E09000018,Hounslow,271523.0,4851.0,56.0,51.462429,-0.37847
111,E09000021,Kingston upon Thames,177507.0,4764.0,37.0,51.39296,-0.28367
112,E09000024,Merton,206548.0,5490.0,38.0,51.410568,-0.18867
113,E09000026,Redbridge,305222.0,5411.0,56.0,51.585892,0.070071
114,E09000027,Richmond upon Thames,198019.0,3450.0,57.0,51.44035,-0.28914
115,E09000029,Sutton,206349.0,4706.0,44.0,51.357559,-0.17227
116,E09000031,Waltham Forest,276983.0,7137.0,39.0,51.594608,-0.01881
117,E06000036,Bracknell Forest,122549.0,1120.0,109.0,51.411301,-0.73363
118,E06000043,Brighton and Hove,290885.0,3512.0,83.0,50.8465,-0.15079
119,E06000046,Isle of Wight,141771.0,373.0,380.0,50.671291,-1.33366
120,E06000035,Medway,278556.0,1438.0,194.0,51.44772,0.563174
