area,Date,P_08,P_09,P_10,P_11,P_12,P_15,P_20,provenance
Buckinghamshire,2020-08-11,0.91,0.73,0.51,0.31,0.17,0.02,0.00,inferred
Buckinghamshire,2020-08-12,0.91,0.73,0.51,0.31,0.17,0.02,0.00,inferred
Buckinghamshire,2020-08-13,0.91,0.73,0.51,0.31,0.17,0.02,0.00,inferred
Buckinghamshire,2020-08-14,0.91,0.73,0.51,0.31,0.17,0.02,0.00,inferred
Buckinghamshire,2020-08-15,0.91,0.73,0.51,0.31,0.17,0.02,0.00,inferred
Buckinghamshire,2020-08-16,0.91,0.73,0.51,0.31,0.17,0.02,0.00,inferred
Buckinghamshire,2020-08-17,0.91,0.73,0.51,0.31,0.17,0.02,0.00,inferred
Buckinghamshire,2020-08-18,0.79,0.53,0.29,0.14,0.06,0.00,0.00,inferred
Buckinghamshire,2020-08-19,0.79,0.53,0.29,0.14,0.06,0.00,0.00,inferred
Buckinghamshire,2020-08-20,0.79,0.53,0.29,0.14,0.06,0.00,0.00,inferred
Buckinghamshire,2020-08-21,0.79,0.53,0.29,0.14,0.06,0.00,0.00,inferred
Buckinghamshire,2020-08-22,0.79,0.53,0.29,0.14,0.06,0.00,0.00,inferred
Buckinghamshire,2020-08-23,0.79,0.53,0.29,0.14,0.06,0.00,0.00,inferred
Buckinghamshire,2020-08-24,0.79,0.53,0.29,0.14,0.06,0.00,0.00,inferred
Buckinghamshire,2020-08-25,0.72,0.45,0.21,0.08,0.03,0.00,0.00,inferred
Buckinghamshire,2020-08-26,0.72,0.45,0.21,0.08,0.03,0.00,0.00,inferred
Buckinghamshire,2020-08-27,0.72,0.45,0.21,0.08,0.03,0.00,0.00,inferred
Buckinghamshire,2020-08-28,0.72,0.45,0.21,0.08,0.03,0.00,0.00,inferred
Buckinghamshire,2020-08-29,0.72,0.45,0.21,0.08,0.03,0.00,0.00,inferred
Buckinghamshire,2020-08-30,0.72,0.45,0.21,0.08,0.03,0.00,0.00,inferred
Buckinghamshire,2020-08-31,0.72,0.45,0.21,0.08,0.03,0.00,0.00,inferred
Buckinghamshire,2020-09-01,0.73,0.47,0.23,0.09,0.04,0.00,0.00,inferred
Buckinghamshire,2020-09-02,0.73,0.47,0.23,0.09,0.04,0.00,0.00,inferred
Buckinghamshire,2020-09-03,0.73,0.47,0.23,0.09,0.04,0.00,0.00,inferred
Buckinghamshire,2020-09-04,0.73,0.47,0.23,0.09,0.04,0.00,0.00,inferred
Buckinghamshire,2020-09-05,0.73,0.47,0.23,0.09,0.04,0.00,0.00,inferred
Buckinghamshire,2020-09-06,0.73,0.47,0.23,0.09,0.04,0.00,0.00,inferred
Buckinghamshire,2020-09-07,0.73,0.47,0.23,0.09,0.04,0.00,0.00,inferred
Buckinghamshire,2020-09-08,0.98,0.92,0.74,0.48,0.25,0.02,0.00,inferred
Buckinghamshire,2020-09-09,0.98,0.92,0.74,0.48,0.25,0.02,0.00,inferred
Buckinghamshire,2020-09-10,0.98,0.92,0.74,0.48,0.25,0.02,0.00,inferred
Buckinghamshire,2020-09-11,0.98,0.92,0.74,0.48,0.25,0.02,0.00,inferred
Buckinghamshire,2020-09-12,0.98,0.92,0.74,0.48,0.25,0.02,0.00,inferred
Buckinghamshire,2020-09-13,0.98,0.92,0.74,0.48,0.25,0.02,0.00,inferred
Buckinghamshire,2020-09-14,0.98,0.92,0.74,0.48,0.25,0.02,0.00,inferred
Buckinghamshire,2020-09-15,1.00,1.00,0.98,0.91,0.75,0.13,0.00,inferred
Buckinghamshire,2020-09-16,1.00,1.00,0.98,0.91,0.75,0.13,0.00,inferred
Buckinghamshire,2020-09-17,1.00,1.00,0.98,0.91,0.75,0.13,0.00,inferred
Buckinghamshire,2020-09-18,1.00,1.00,0.98,0.91,0.75,0.13,0.00,inferred
Buckinghamshire,2020-09-19,1.00,1.00,0.98,0.91,0.75,0.13,0.00,inferred
Buckinghamshire,2020-09-20,1.00,1.00,0.98,0.91,0.75,0.13,0.00,inferred
Buckinghamshire,2020-09-21,1.00,1.00,0.98,0.91,0.75,0.13,0.00,inferred
Buckinghamshire,2020-09-22,1.00,1.00,1.00,1.00,1.00,0.80,0.05,inferred
Buckinghamshire,2020-09-23,1.00,1.00,1.00,1.00,1.00,0.80,0.05,inferred
Buckinghamshire,2020-09-24,1.00,1.00,1.00,1.00,1.00,0.80,0.05,inferred
Buckinghamshire,2020-09-25,1.00,1.00,1.00,1.00,1.00,0.80,0.05,inferred
Buckinghamshire,2020-09-26,1.00,1.00,1.00,1.00,1.00,0.80,0.05,inferred
Buckinghamshire,2020-09-27,1.00,1.00,1.00,1.00,1.00,0.80,0.05,inferred
Buckinghamshire,2020-09-28,1.00,1.00,1.00,1.00,1.00,0.80,0.05,inferred
Buckinghamshire,2020-09-29,1.00,1.00,1.00,1.00,0.99,0.56,0.00,inferred
Buckinghamshire,2020-09-30,1.00,1.00,1.00,1.00,0.99,0.56,0.00,inferred
Buckinghamshire,2020-10-01,1.00,1.00,1.00,1.00,0.99,0.56,0.00,inferred
Buckinghamshire,2020-10-02,1.00,1.00,1.00,1.00,0.99,0.56,0.00,inferred
Buckinghamshire,2020-10-03,1.00,1.00,1.00,1.00,0.99,0.56,0.00,inferred
Buckinghamshire,2020-10-04,1.00,1.00,1.00,1.00,0.99,0.56,0.00,inferred
Buckinghamshire,2020-10-05,1.00,1.00,1.00,1.00,0.99,0.56,0.00,inferred
Buckinghamshire,2020-10-06,1.00,1.00,1.00,0.99,0.93,0.17,0.00,inferred
