area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2021-09-25, 3198.4, 3244.8, 3390.8, 3493.0, 3589.0, 3732.0, 3776.6,inferred
"North East and Yorkshire",2021-09-26, 3962.9, 4010.9, 4174.8, 4279.0, 4386.2, 4554.0, 4598.6,inferred
"North East and Yorkshire",2021-09-27, 5308.0, 5383.9, 5579.0, 5735.0, 5902.0, 6117.0, 6179.5,inferred
"North East and Yorkshire",2021-09-28, 5397.0, 5458.0, 5657.0, 5850.0, 6040.0, 6259.0, 6317.5,inferred
"North East and Yorkshire",2021-09-29, 5566.0, 5617.0, 5846.8, 6015.0, 6189.0, 6407.0, 6476.1,inferred
"North East and Yorkshire",2021-09-30, 5069.0, 5112.0, 5305.8, 5435.0, 5572.2, 5759.2, 5835.0,inferred
"North East and Yorkshire",2021-10-01, 4392.0, 4436.0, 4597.0, 4713.0, 4829.0, 4985.0, 5024.5,inferred
"North East and Yorkshire",2021-10-02, 3301.9, 3342.9, 3477.0, 3575.5, 3669.0, 3812.0, 3869.0,inferred
"North East and Yorkshire",2021-10-03, 4115.0, 4156.9, 4326.8, 4435.5, 4550.0, 4705.0, 4774.0,inferred
"North East and Yorkshire",2021-10-04, 5661.5, 5728.0, 5920.0, 6058.5, 6188.0, 6397.4, 6471.6,inferred
"North East and Yorkshire",2021-10-05, 5901.0, 5938.0, 6145.0, 6287.5, 6420.0, 6640.0, 6711.5,inferred
"North East and Yorkshire",2021-10-06, 6152.0, 6212.8, 6426.8, 6557.0, 6692.2, 6895.1, 6964.5,inferred
"North East and Yorkshire",2021-10-07, 5655.0, 5700.0, 5872.0, 6008.0, 6139.0, 6319.0, 6376.5,inferred
"North East and Yorkshire",2021-10-08, 4949.0, 5000.0, 5170.0, 5285.0, 5405.0, 5578.0, 5629.1,inferred
"North East and Yorkshire",2021-10-09, 3785.5, 3839.9, 3973.0, 4074.5, 4176.0, 4327.0, 4390.5,inferred
"North East and Yorkshire",2021-10-10, 4792.5, 4840.0, 5004.0, 5112.5, 5235.0, 5419.0, 5482.6,inferred
"North East and Yorkshire",2021-10-11, 6654.4, 6724.9, 6926.8, 7062.0, 7202.0, 7399.0, 7455.0,inferred
"North East and Yorkshire",2021-10-12, 6818.0, 6888.9, 7113.0, 7262.5, 7396.0, 7614.0, 7691.5,inferred
"North East and Yorkshire",2021-10-13, 6964.0, 7040.0, 7250.5, 7392.0, 7535.2, 7745.1, 7806.5,inferred
"North East and Yorkshire",2021-10-14, 6200.0, 6252.0, 6444.0, 6566.0, 6703.2, 6905.1, 6974.5,inferred
"North East and Yorkshire",2021-10-15, 5284.0, 5342.0, 5516.8, 5633.0, 5746.0, 5934.0, 6010.5,inferred
"North East and Yorkshire",2021-10-16, 3939.5, 3978.0, 4134.0, 4228.0, 4332.0, 4491.1, 4565.6,inferred
"North East and Yorkshire",2021-10-17, 4859.4, 4910.0, 5081.0, 5199.0, 5313.2, 5484.0, 5536.5,inferred
"North East and Yorkshire",2021-10-18, 6631.4, 6692.0, 6883.0, 7026.0, 7164.0, 7385.1, 7456.6,inferred
"North East and Yorkshire",2021-10-19, 6702.4, 6772.0, 6963.0, 7110.0, 7253.2, 7481.0, 7551.5,inferred
"North East and Yorkshire",2021-10-20, 6770.5, 6823.0, 7006.8, 7149.0, 7288.0, 7502.1, 7580.0,inferred
"North East and Yorkshire",2021-10-21, 5936.0, 6008.9, 6186.8, 6307.5, 6437.2, 6622.1, 6684.0,inferred
"North East and Yorkshire",2021-10-22, 5008.0, 5056.0, 5222.0, 5341.0, 5468.0, 5634.0, 5684.0,inferred
"North East and Yorkshire",2021-10-23, 3666.9, 3731.0, 3863.8, 3964.0, 4062.2, 4212.0, 4263.5,inferred
