area,Date,C_025,C_25,C_50,C_75,C_975,provenance
Buckinghamshire,2020-11-24,84.4,96.4,104.4,110.4,121.8,projected
Buckinghamshire,2020-11-25,80.1,95.4,105.8,111.7,122.2,projected
Buckinghamshire,2020-11-26,75.1,94.0,106.3,115.3,122.0,projected
Buckinghamshire,2020-11-27,70.2,92.9,109.4,118.3,123.3,projected
Buckinghamshire,2020-11-28,66.1,91.0,109.4,118.5,128.1,projected
Buckinghamshire,2020-11-29,63.0,87.6,108.2,117.4,132.4,projected
Buckinghamshire,2020-11-30,60.2,84.3,103.4,115.3,138.6,projected
Buckinghamshire,2020-12-01,56.6,81.1,98.7,113.0,145.7,projected
Buckinghamshire,2020-12-02,52.7,77.3,94.4,111.2,153.4,projected
Buckinghamshire,2020-12-03,48.7,73.4,91.0,110.1,161.4,projected
Buckinghamshire,2020-12-04,44.7,70.0,88.2,109.3,169.8,projected
Buckinghamshire,2020-12-05,41.1,67.1,86.0,108.8,177.1,projected
Buckinghamshire,2020-12-06,38.2,64.6,84.3,108.7,185.4,projected
Buckinghamshire,2020-12-07,35.6,62.1,82.7,108.6,194.6,projected
Buckinghamshire,2020-12-08,33.0,59.7,81.0,108.8,203.5,projected
Buckinghamshire,2020-12-09,30.4,57.2,79.3,109.0,215.7,projected
Buckinghamshire,2020-12-10,28.0,54.7,77.6,109.2,228.9,projected
Buckinghamshire,2020-12-11,25.5,52.3,76.1,109.3,243.1,projected
Buckinghamshire,2020-12-12,23.3,50.2,74.7,109.9,257.4,projected
Buckinghamshire,2020-12-13,21.4,48.2,73.3,110.2,270.8,projected
Buckinghamshire,2020-12-14,19.7,46.2,71.8,110.8,285.4,projected
Buckinghamshire,2020-12-15,18.1,44.4,70.6,111.2,304.6,projected
Buckinghamshire,2020-12-16,16.6,42.6,69.1,111.8,326.2,projected
Buckinghamshire,2020-12-17,15.2,40.6,67.7,112.4,345.3,projected
Buckinghamshire,2020-12-18,13.9,38.9,66.6,112.9,368.6,projected
Buckinghamshire,2020-12-19,12.6,37.4,65.4,113.9,393.1,projected
Buckinghamshire,2020-12-20,11.7,35.9,64.2,114.4,419.6,projected
Buckinghamshire,2020-12-21,10.8,34.6,63.2,115.2,446.8,projected
Cherwell,2020-11-24,15.3,17.0,18.9,25.3,26.7,projected
Cherwell,2020-11-25,14.1,15.0,17.7,25.0,27.5,projected
Cherwell,2020-11-26,12.1,14.4,16.7,24.6,28.0,projected
Cherwell,2020-11-27,10.4,13.3,16.2,24.5,28.0,projected
Cherwell,2020-11-28,9.4,12.3,16.1,24.5,27.8,projected
Cherwell,2020-11-29,8.8,11.8,15.5,23.4,28.3,projected
Cherwell,2020-11-30,8.3,11.6,15.3,22.0,29.3,projected
Cherwell,2020-12-01,7.6,11.5,15.3,21.2,30.4,projected
Cherwell,2020-12-02,7.1,11.4,15.2,20.6,31.6,projected
Cherwell,2020-12-03,6.6,11.1,15.1,20.4,32.8,projected
Cherwell,2020-12-04,6.2,10.8,14.8,20.2,33.9,projected
Cherwell,2020-12-05,5.8,10.5,14.6,20.1,34.9,projected
Cherwell,2020-12-06,5.5,10.2,14.4,20.0,36.0,projected
Cherwell,2020-12-07,5.2,10.0,14.2,19.9,37.1,projected
Cherwell,2020-12-08,5.0,9.7,13.9,19.9,38.6,projected
Cherwell,2020-12-09,4.7,9.4,13.7,19.9,40.3,projected
Cherwell,2020-12-10,4.4,9.1,13.4,19.9,42.4,projected
Cherwell,2020-12-11,4.2,8.8,13.2,19.8,44.7,projected
Cherwell,2020-12-12,4.0,8.5,13.0,19.9,47.1,projected
Cherwell,2020-12-13,3.8,8.3,12.8,20.0,49.6,projected
Cherwell,2020-12-14,3.6,8.1,12.7,20.1,52.1,projected
Cherwell,2020-12-15,3.4,7.9,12.5,20.2,55.3,projected
Cherwell,2020-12-16,3.3,7.6,12.3,20.3,58.6,projected
Cherwell,2020-12-17,3.1,7.4,12.1,20.5,62.2,projected
Cherwell,2020-12-18,3.0,7.2,12.0,20.5,66.4,projected
Cherwell,2020-12-19,2.9,7.0,11.8,20.6,70.9,projected
Cherwell,2020-12-20,2.7,6.8,11.7,20.8,75.2,projected
Cherwell,2020-12-21,2.6,6.7,11.5,21.0,79.6,projected
Dacorum,2020-11-24,16.5,17.3,19.0,21.7,25.7,projected
Dacorum,2020-11-25,17.0,17.3,18.2,22.3,25.6,projected
Dacorum,2020-11-26,16.1,17.1,18.4,22.3,25.6,projected
Dacorum,2020-11-27,15.1,16.4,18.9,22.6,25.6,projected
Dacorum,2020-11-28,13.9,15.9,18.8,22.2,25.9,projected
Dacorum,2020-11-29,12.6,15.5,18.6,22.0,26.7,projected
Dacorum,2020-11-30,11.4,15.2,18.4,21.7,28.1,projected
Dacorum,2020-12-01,10.3,14.8,18.0,21.7,29.8,projected
Dacorum,2020-12-02,9.4,14.2,17.7,21.7,31.6,projected
Dacorum,2020-12-03,8.7,13.7,17.3,21.7,33.4,projected
Dacorum,2020-12-04,8.0,13.2,17.0,21.8,35.2,projected
Dacorum,2020-12-05,7.4,12.8,16.8,21.9,37.1,projected
Dacorum,2020-12-06,7.0,12.3,16.5,22.0,38.6,projected
Dacorum,2020-12-07,6.5,11.9,16.2,22.1,40.5,projected
Dacorum,2020-12-08,6.2,11.6,16.0,22.2,42.9,projected
Dacorum,2020-12-09,5.8,11.2,15.8,22.3,45.2,projected
Dacorum,2020-12-10,5.4,10.8,15.5,22.4,47.8,projected
Dacorum,2020-12-11,5.1,10.5,15.2,22.6,50.2,projected
Dacorum,2020-12-12,4.8,10.1,15.0,22.8,53.1,projected
Dacorum,2020-12-13,4.6,9.8,14.9,23.0,56.3,projected
Dacorum,2020-12-14,4.3,9.6,14.7,23.2,59.6,projected
Dacorum,2020-12-15,4.1,9.3,14.6,23.4,63.4,projected
Dacorum,2020-12-16,3.9,9.0,14.4,23.6,68.0,projected
