AREA,CODE,POPULATION,DENSITY,SQUARE_KM_AREA,LAT,LONG
Hackney,E09000012,281120.0,14758.0,19.0,51.55492,-0.06045
Hammersmith and Fulham,E09000013,185143.0,11287.0,16.0,51.487331,-0.21735
Haringey,E09000014,268647.0,9076.0,30.0,51.587711,-0.10667
Islington,E09000019,242467.0,16321.0,15.0,51.545479,-0.10992
Kensington and Chelsea,E09000020,156129.0,12876.0,12.0,51.496441,-0.18976
Lambeth,E09000022,326034.0,12156.0,27.0,51.464451,-0.11385
Lewisham,E09000023,305842.0,8702.0,35.0,51.44231,-0.01733
Newham,E09000025,353134.0,9756.0,36.0,51.531471,0.027289
Southwark,E09000028,318830.0,11045.0,29.0,51.465919,-0.07306
Tower Hamlets,E09000030,324745.0,16427.0,20.0,51.515541,-0.03643
Wandsworth,E09000032,329677.0,9624.0,34.0,51.4524,-0.20023
Westminster,E09000033,261317.0,12167.0,21.0,51.512199,-0.15295
Barking and Dagenham,E09000002,212906.0,5898.0,36.0,51.545551,0.129479
Barnet,E09000003,395869.0,4563.0,87.0,51.61108,-0.21821
Bexley,E09000004,248287.0,4099.0,61.0,51.458229,0.146227
Brent,E09000005,329771.0,7628.0,43.0,51.564411,-0.27568
Bromley,E09000006,332336.0,2214.0,150.0,51.372669,0.039246
Croydon,E09000008,386710.0,4471.0,86.0,51.365978,-0.07761
Ealing,E09000009,341806.0,6154.0,56.0,51.524429,-0.31407
Enfield,E09000010,333794.0,4130.0,81.0,51.64888,-0.08147
Greenwich,E09000011,287942.0,6086.0,47.0,51.463928,0.050107
Harrow,E09000015,251160.0,4977.0,50.0,51.594669,-0.33603
Havering,E09000016,259552.0,2310.0,112.0,51.565189,0.235368
Hillingdon,E09000017,306870.0,2652.0,116.0,51.536629,-0.44182
Hounslow,E09000018,271523.0,4851.0,56.0,51.462429,-0.37847
Kingston upon Thames,E09000021,177507.0,4764.0,37.0,51.39296,-0.28367
Merton,E09000024,206548.0,5490.0,38.0,51.410568,-0.18867
Redbridge,E09000026,305222.0,5411.0,56.0,51.585892,0.070071
Richmond upon Thames,E09000027,198019.0,3450.0,57.0,51.44035,-0.28914
Sutton,E09000029,206349.0,4706.0,44.0,51.357559,-0.17227
Waltham Forest,E09000031,276983.0,7137.0,39.0,51.594608,-0.01881
Bracknell Forest,E06000036,122549.0,1120.0,109.0,51.411301,-0.73363
Brighton and Hove,E06000043,290885.0,3512.0,83.0,50.8465,-0.15079
Isle of Wight,E06000046,141771.0,373.0,380.0,50.671291,-1.33366
Medway,E06000035,278556.0,1438.0,194.0,51.44772,0.563174
Milton Keynes,E06000042,269457.0,873.0,309.0,52.072411,-0.7407
Portsmouth,E06000044,214905.0,5321.0,40.0,50.807999,-1.07006
Reading,E06000038,161780.0,4005.0,40.0,51.453018,-0.99071
Slough,E06000039,149539.0,4595.0,33.0,51.503502,-0.57617
Southampton,E06000045,252520.0,5062.0,50.0,50.9212,-1.39952
West Berkshire,E06000037,158450.0,225.0,704.0,51.445591,-1.27364
Windsor and Maidenhead,E06000040,151422.0,771.0,197.0,51.480339,-0.67541
Wokingham,E06000041,171119.0,956.0,179.0,51.422958,-0.89935
Buckinghamshire,E10000002,543973.0,348.0,1565.0,51.769661,-0.80569
East Sussex,E10000011,557229.0,326.0,1709.0,50.938049,0.334559
Hampshire,E10000014,1382542.0,376.0,3678.0,51.044739,-1.24735
Kent,E10000016,1581555.0,446.0,3544.0,51.192951,0.72137
Oxfordshire,E10000025,691667.0,266.0,2605.0,51.771549,-1.29146
Surrey,E10000030,1196236.0,720.0,1663.0,51.268028,-0.33911
West Sussex,E10000032,863980.0,434.0,1991.0,50.95134,-0.45933
Bath and North East Somerset,E06000022,193282.0,559.0,346.0,51.356041,-2.48654
"Bournemouth, Christchurch and Poole",E06000058,395331.0,2439.0,162.0,50.74609,-1.84807
"Bristol, City of",E06000023,463377.0,4224.0,110.0,51.471149,-2.57742
Cornwall,E06000052,569578.0,161.0,3545.0,50.450218,-4.64254
Dorset,E06000059,378508.0,152.0,2491.0,50.79697,-2.41467
Isles of Scilly,E06000053,2224.0,136.0,16.0,49.923321,-6.30217
North Somerset,E06000024,215052.0,575.0,374.0,51.397072,-2.75439
Plymouth,E06000026,262100.0,3282.0,80.0,50.404942,-4.11297
South Gloucestershire,E06000025,285093.0,574.0,497.0,51.54673,-2.46922
Swindon,E06000030,222193.0,966.0,230.0,51.577629,-1.73367
Torbay,E06000027,136264.0,2167.0,63.0,50.470921,-3.55523
Wiltshire,E06000054,500024.0,154.0,3255.0,51.328831,-1.92661
Devon,E10000008,802375.0,122.0,6564.0,50.725578,-3.65698
Gloucestershire,E10000013,637070.0,240.0,2653.0,51.81971,-2.15235
Somerset,E10000027,562225.0,163.0,3451.0,51.071819,-3.29595
Isle of Anglesey,W06000001,70043.0,98.0,712.0,53.279419,-4.32306
Gwynedd,W06000002,124560.0,49.0,2535.0,52.89883,-3.77715
Conwy,W06000003,117203.0,104.0,1126.0,53.147388,-3.74646
Denbighshire,W06000004,95696.0,114.0,837.0,53.088329,-3.34761
Flintshire,W06000005,156100.0,355.0,440.0,53.21471,-3.18248
Wrexham,W06000006,135957.0,270.0,504.0,53.001671,-2.99203
Powys,W06000023,132435.0,26.0,5181.0,52.34864,-3.43531
