area,Date,C_025,C_25,C_50,C_75,C_975,provenance
Buckinghamshire,2020-11-24,85.3,91.2,98.3,100.8,114.6,projected
Buckinghamshire,2020-11-25,82.0,91.7,96.7,101.2,114.4,projected
Buckinghamshire,2020-11-26,78.9,91.5,95.6,101.8,114.0,projected
Buckinghamshire,2020-11-27,76.5,89.5,96.5,103.0,114.0,projected
Buckinghamshire,2020-11-28,74.5,86.7,97.5,104.9,115.8,projected
Buckinghamshire,2020-11-29,72.3,84.7,96.1,105.5,119.8,projected
Buckinghamshire,2020-11-30,68.3,82.5,93.6,104.2,125.8,projected
Buckinghamshire,2020-12-01,62.5,79.3,90.7,103.2,133.2,projected
Buckinghamshire,2020-12-02,56.9,75.6,88.0,102.5,140.7,projected
Buckinghamshire,2020-12-03,51.3,71.9,85.6,102.1,148.9,projected
Buckinghamshire,2020-12-04,46.6,68.7,83.5,102.0,156.9,projected
Buckinghamshire,2020-12-05,42.5,66.0,81.8,102.0,164.1,projected
Buckinghamshire,2020-12-06,39.1,63.4,80.2,102.2,171.6,projected
Buckinghamshire,2020-12-07,36.0,61.1,78.8,102.3,180.1,projected
Buckinghamshire,2020-12-08,33.1,58.7,77.5,102.6,189.2,projected
Buckinghamshire,2020-12-09,30.4,56.1,76.1,103.2,200.8,projected
Buckinghamshire,2020-12-10,27.8,53.8,74.6,103.6,212.6,projected
Buckinghamshire,2020-12-11,25.4,51.6,73.3,104.1,224.7,projected
Buckinghamshire,2020-12-12,23.2,49.5,72.0,104.6,237.0,projected
Buckinghamshire,2020-12-13,21.4,47.6,70.8,105.1,250.7,projected
Buckinghamshire,2020-12-14,19.9,45.9,69.7,105.4,265.6,projected
Buckinghamshire,2020-12-15,18.4,44.1,68.4,106.2,285.3,projected
Buckinghamshire,2020-12-16,16.8,42.4,67.1,106.7,305.1,projected
Buckinghamshire,2020-12-17,15.4,40.6,66.0,107.4,324.9,projected
Buckinghamshire,2020-12-18,14.1,38.9,64.8,108.6,346.7,projected
Buckinghamshire,2020-12-19,12.9,37.4,63.7,109.2,368.9,projected
Buckinghamshire,2020-12-20,11.8,36.1,62.6,110.3,392.9,projected
Buckinghamshire,2020-12-21,11.0,34.7,61.7,111.2,424.0,projected
Cherwell,2020-11-24,17.6,18.3,20.5,26.5,31.2,projected
Cherwell,2020-11-25,17.4,18.3,21.4,25.8,34.0,projected
Cherwell,2020-11-26,17.2,18.6,21.2,25.0,37.0,projected
Cherwell,2020-11-27,16.8,17.5,21.2,26.2,39.3,projected
Cherwell,2020-11-28,15.4,17.4,20.4,26.7,40.5,projected
Cherwell,2020-11-29,13.8,17.1,19.8,26.4,41.3,projected
Cherwell,2020-11-30,12.4,16.3,19.5,26.0,41.6,projected
Cherwell,2020-12-01,11.2,15.7,19.2,25.7,41.4,projected
Cherwell,2020-12-02,10.2,15.0,18.8,25.1,41.6,projected
Cherwell,2020-12-03,9.3,14.4,18.4,24.5,42.2,projected
Cherwell,2020-12-04,8.6,13.8,18.0,24.1,43.0,projected
Cherwell,2020-12-05,7.9,13.3,17.6,23.9,43.8,projected
Cherwell,2020-12-06,7.4,12.8,17.3,23.7,45.1,projected
Cherwell,2020-12-07,6.8,12.3,17.0,23.5,46.6,projected
Cherwell,2020-12-08,6.4,11.9,16.6,23.4,48.0,projected
Cherwell,2020-12-09,5.9,11.4,16.2,23.4,49.7,projected
Cherwell,2020-12-10,5.5,11.0,15.9,23.4,52.1,projected
Cherwell,2020-12-11,5.2,10.6,15.6,23.2,54.2,projected
Cherwell,2020-12-12,4.8,10.2,15.2,23.1,56.4,projected
