area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2022-01-13,12047.8,12151.0,12500.2,12746.0,12977.0,13336.0,13433.0,projected
"North East and Yorkshire",2022-01-14, 8869.5, 8977.0, 9283.0, 9507.5, 9722.0,10064.0,10160.1,projected
"North East and Yorkshire",2022-01-15, 5642.4, 5739.9, 5989.0, 6155.0, 6340.0, 6603.0, 6676.0,projected
"North East and Yorkshire",2022-01-16, 6176.4, 6247.6, 6565.0, 6746.0, 6951.2, 7283.0, 7404.0,projected
"North East and Yorkshire",2022-01-17, 7648.0, 7766.9, 8211.8, 8537.5, 8873.2, 9417.2, 9624.6,projected
"North East and Yorkshire",2022-01-18, 6833.0, 6942.0, 7439.5, 7811.0, 8261.0, 8998.2, 9254.7,projected
"North East and Yorkshire",2022-01-19, 5934.3, 6092.9, 6608.0, 7033.5, 7584.2, 8466.1, 8740.0,projected
"North East and Yorkshire",2022-01-20, 4608.8, 4754.0, 5217.0, 5635.5, 6132.8, 6978.2, 7281.7,projected
"North East and Yorkshire",2022-01-21, 3430.4, 3546.6, 3945.5, 4308.0, 4752.0, 5565.0, 5793.6,projected
"North East and Yorkshire",2022-01-22, 2191.9, 2264.0, 2572.0, 2850.0, 3199.2, 3802.2, 4014.7,projected
"North East and Yorkshire",2022-01-23, 2357.0, 2456.9, 2858.5, 3182.0, 3652.0, 4445.8, 4689.2,projected
"North East and Yorkshire",2022-01-24, 2954.0, 3091.9, 3623.8, 4149.5, 4814.2, 5935.4, 6395.1,projected
"North East and Yorkshire",2022-01-25, 2653.9, 2810.0, 3384.0, 3884.0, 4593.5, 5813.3, 6363.1,projected
"North East and Yorkshire",2022-01-26, 2394.3, 2537.9, 3074.0, 3633.0, 4387.8, 5702.4, 6167.0,projected
"North East and Yorkshire",2022-01-27, 1899.0, 1998.8, 2489.0, 2969.5, 3642.5, 4791.4, 5303.2,projected
"North East and Yorkshire",2022-01-28, 1419.7, 1535.8, 1912.8, 2333.0, 2913.2, 3889.1, 4242.7,projected
"North East and Yorkshire",2022-01-29,  920.0,  999.9, 1290.8, 1597.5, 2002.8, 2723.1, 3075.6,projected
"North East and Yorkshire",2022-01-30, 1010.9, 1085.9, 1460.0, 1834.0, 2354.0, 3253.2, 3649.1,projected
"North East and Yorkshire",2022-01-31, 1279.4, 1425.8, 1918.0, 2464.0, 3197.5, 4565.0, 5047.6,projected
"North East and Yorkshire",2022-02-01, 1213.8, 1335.0, 1839.0, 2375.0, 3147.0, 4561.2, 5368.9,projected
"North East and Yorkshire",2022-02-02, 1128.0, 1251.8, 1743.8, 2282.5, 3083.8, 4566.1, 5414.5,projected
"North West",2022-01-13, 7425.5, 7518.9, 7734.8, 7911.5, 8086.2, 8350.1, 8451.6,projected
"North West",2022-01-14, 5212.0, 5275.9, 5479.0, 5629.0, 5767.0, 6013.0, 6095.0,projected
"North West",2022-01-15, 3214.5, 3262.0, 3431.0, 3546.5, 3655.2, 3830.0, 3880.0,projected
"North West",2022-01-16, 3409.0, 3468.0, 3644.8, 3769.0, 3902.2, 4117.2, 4201.0,projected
"North West",2022-01-17, 4241.5, 4323.9, 4559.0, 4748.5, 4960.2, 5331.0, 5455.5,projected
"North West",2022-01-18, 3684.5, 3752.0, 4010.8, 4222.0, 4482.2, 4928.1, 5125.9,projected
"North West",2022-01-19, 3093.4, 3185.0, 3456.8, 3675.5, 3959.2, 4495.0, 4670.2,projected
"North West",2022-01-20, 2339.9, 2416.8, 2658.5, 2868.5, 3116.0, 3621.2, 3805.6,projected
"North West",2022-01-21, 1656.0, 1711.0, 1901.8, 2082.5, 2324.0, 2735.6, 2881.5,projected
"North West",2022-01-22, 1016.5, 1056.0, 1201.0, 1338.5, 1514.0, 1811.1, 1904.5,projected
"North West",2022-01-23, 1077.9, 1117.0, 1289.8, 1456.5, 1669.0, 2068.1, 2196.7,projected
"North West",2022-01-24, 1345.0, 1404.0, 1646.0, 1879.0, 2175.2, 2781.1, 2979.0,projected
"North West",2022-01-25, 1181.5, 1259.8, 1486.8, 1710.5, 2053.5, 2631.2, 2909.4,projected
"North West",2022-01-26, 1005.5, 1084.0, 1322.0, 1536.0, 1868.2, 2513.0, 2704.6,projected
"North West",2022-01-27,  770.9,  835.0, 1030.8, 1232.0, 1498.2, 2010.1, 2255.8,projected
"North West",2022-01-28,  550.5,  594.0,  750.8,  907.0, 1122.0, 1548.6, 1733.1,projected
"North West",2022-01-29,  341.5,  364.0,  481.0,  592.0,  748.2, 1050.0, 1181.0,projected
"North West",2022-01-30,  358.0,  395.0,  524.8,  656.0,  849.0, 1223.1, 1367.0,projected
"North West",2022-01-31,  477.5,  522.0,  687.8,  866.0, 1123.2, 1672.7, 1937.0,projected
"North West",2022-02-01,  426.0,  463.0,  641.5,  817.0, 1081.0, 1652.1, 1916.5,projected
"North West",2022-02-02,  381.5,  430.0,  586.0,  753.0, 1002.5, 1571.4, 1811.0,projected
"Midlands",2022-01-13,12450.6,12573.8,12864.5,13066.0,13272.2,13603.0,13680.0,projected
"Midlands",2022-01-14, 9313.0, 9401.8, 9678.0, 9867.0,10033.2,10352.1,10447.5,projected
"Midlands",2022-01-15, 6288.5, 6366.0, 6592.8, 6757.0, 6923.2, 7182.2, 7268.6,projected
"Midlands",2022-01-16, 6724.0, 6826.0, 7098.0, 7305.5, 7493.0, 7786.0, 7895.7,projected
"Midlands",2022-01-17, 8502.0, 8621.9, 9006.8, 9317.5, 9648.0,10165.0,10368.6,projected
"Midlands",2022-01-18, 7642.4, 7801.9, 8195.0, 8527.5, 8920.2, 9622.4, 9884.7,projected
"Midlands",2022-01-19, 6802.5, 6924.7, 7386.0, 7773.0, 8222.2, 9040.4, 9355.0,projected
"Midlands",2022-01-20, 5459.8, 5577.0, 6020.0, 6372.5, 6840.5, 7606.2, 7929.3,projected
"Midlands",2022-01-21, 4095.5, 4209.0, 4578.5, 4915.5, 5323.0, 5992.2, 6270.5,projected
"Midlands",2022-01-22, 2802.0, 2880.0, 3173.8, 3425.0, 3760.2, 4354.2, 4544.5,projected
"Midlands",2022-01-23, 2997.8, 3081.9, 3447.8, 3760.0, 4176.2, 4853.0, 5098.0,projected
"Midlands",2022-01-24, 3821.4, 3952.8, 4438.8, 4896.0, 5520.0, 6486.9, 6866.2,projected
"Midlands",2022-01-25, 3463.0, 3569.0, 4095.8, 4590.5, 5207.8, 6227.0, 6599.1,projected
"Midlands",2022-01-26, 3173.4, 3285.9, 3795.5, 4300.0, 4930.0, 5985.9, 6366.7,projected
"Midlands",2022-01-27, 2532.5, 2661.9, 3141.8, 3592.5, 4136.2, 5110.5, 5379.0,projected
"Midlands",2022-01-28, 1942.8, 2032.0, 2434.8, 2805.0, 3261.2, 4095.9, 4358.4,projected
"Midlands",2022-01-29, 1331.5, 1395.0, 1711.0, 1992.5, 2353.0, 2979.1, 3146.5,projected
"Midlands",2022-01-30, 1437.4, 1518.8, 1903.5, 2242.0, 2659.0, 3401.4, 3611.0,projected
"Midlands",2022-01-31, 1874.4, 2006.8, 2500.5, 2982.0, 3554.2, 4558.2, 4906.8,projected
"Midlands",2022-02-01, 1734.3, 1847.9, 2377.8, 2865.0, 3449.0, 4526.0, 4813.2,projected
"Midlands",2022-02-02, 1603.5, 1716.0, 2241.5, 2723.0, 3301.5, 4366.6, 4793.9,projected
"East of England",2022-01-13, 6301.5, 6358.9, 6554.0, 6695.0, 6840.0, 7066.0, 7122.6,projected
"East of England",2022-01-14, 4718.5, 4783.0, 4959.0, 5095.0, 5220.2, 5412.0, 5489.5,projected
"East of England",2022-01-15, 3269.5, 3317.0, 3451.0, 3562.0, 3679.2, 3847.1, 3894.5,projected
"East of England",2022-01-16, 3525.5, 3583.0, 3759.0, 3898.0, 4044.0, 4265.0, 4340.6,projected
"East of England",2022-01-17, 4477.4, 4553.8, 4797.0, 4996.0, 5222.2, 5578.0, 5660.0,projected
