area,day,C_lower,C_median,C_upper
Western Isles,16,0.00000,0.00000,0.00000
Western Isles,17,0.00000,0.00000,0.00000
Western Isles,18,0.00000,0.00000,0.00000
Western Isles,19,0.00000,0.00000,0.00000
Western Isles,20,0.00000,0.00000,0.00000
Western Isles,21,0.00000,0.00000,0.00000
Westminster,1,0.44592,0.77925,1.20961
Westminster,2,0.47963,0.84399,1.32184
Westminster,3,0.49568,0.89386,1.44314
Westminster,4,0.49108,0.92092,1.55700
Westminster,5,0.47252,0.93180,1.66583
Westminster,6,0.44650,0.93345,1.77454
Westminster,7,0.41749,0.93055,1.88680
Westminster,8,0.38812,0.92568,2.00481
Westminster,9,0.35976,0.92009,2.12981
Westminster,10,0.33300,0.91434,2.26257
Westminster,11,0.30805,0.90861,2.40366
Westminster,12,0.28492,0.90296,2.55360
Westminster,13,0.26353,0.89738,2.71292
Westminster,14,0.24375,0.89186,2.88221
Westminster,15,0.22546,0.88640,3.06206
Westminster,16,0.20856,0.88097,3.25314
Westminster,17,0.19293,0.87559,3.45614
Westminster,18,0.17847,0.87023,3.67182
Westminster,19,0.16510,0.86491,3.90095
Westminster,20,0.15273,0.85963,4.14438
Westminster,21,0.14129,0.85437,4.40299
Wigan,1,1.11049,1.72541,2.67060
Wigan,2,1.11508,1.74287,2.72220
Wigan,3,1.08528,1.73432,2.79915
Wigan,4,1.03587,1.71613,2.91311
Wigan,5,0.97759,1.69495,3.05464
Wigan,6,0.91694,1.67335,3.21475
Wigan,7,0.85738,1.65214,3.38816
Wigan,8,0.80055,1.63148,3.57257
Wigan,9,0.74705,1.61130,3.76735
Wigan,10,0.69700,1.59151,3.97267
Wigan,11,0.65030,1.57205,4.18904
Wigan,12,0.60675,1.55286,4.41708
Wigan,13,0.56616,1.53393,4.65748
Wigan,14,0.52829,1.51523,4.91093
Wigan,15,0.49298,1.49676,5.17816
Wigan,16,0.46003,1.47852,5.45993
Wigan,17,0.42929,1.46051,5.75702
Wigan,18,0.40061,1.44271,6.07029
Wigan,19,0.37384,1.42512,6.40060
Wigan,20,0.34887,1.40776,6.74888
Wigan,21,0.32556,1.39060,7.11612
Wiltshire,1,0.81587,1.33822,2.17216
Wiltshire,2,0.85684,1.41486,2.32104
Wiltshire,3,0.86131,1.45716,2.48077
Wiltshire,4,0.83923,1.47650,2.65945
Wiltshire,5,0.80215,1.48319,2.85653
Wiltshire,6,0.75833,1.48378,3.07100
Wiltshire,7,0.71268,1.48183,3.30270
Wiltshire,8,0.66782,1.47898,3.55222
Wiltshire,9,0.62494,1.47594,3.82063
Wiltshire,10,0.58452,1.47292,4.10929
Wiltshire,11,0.54664,1.46998,4.41972
Wiltshire,12,0.51121,1.46711,4.75358
Wiltshire,13,0.47810,1.46429,5.11263
Wiltshire,14,0.44716,1.46149,5.49881
Wiltshire,15,0.41824,1.45870,5.91414
Wiltshire,16,0.39120,1.45593,6.36085
Wiltshire,17,0.36591,1.45316,6.84130
Wiltshire,18,0.34227,1.45040,7.35804
Wiltshire,19,0.32015,1.44765,7.91381
Wiltshire,20,0.29946,1.44490,8.51156
Wiltshire,21,0.28011,1.44216,9.15445
Windsor and Maidenhead,1,0.11685,0.20566,0.35743
Windsor and Maidenhead,2,0.16152,0.28561,0.50030
Windsor and Maidenhead,3,0.18754,0.33671,0.60496
Windsor and Maidenhead,4,0.19569,0.36065,0.67561
Windsor and Maidenhead,5,0.19199,0.36712,0.72723
Windsor and Maidenhead,6,0.18177,0.36407,0.77087
Windsor and Maidenhead,7,0.16861,0.35652,0.81264
Windsor and Maidenhead,8,0.15462,0.34715,0.85537
Windsor and Maidenhead,9,0.14091,0.33728,0.90022
Windsor and Maidenhead,10,0.12803,0.32746,0.94759
Windsor and Maidenhead,11,0.11615,0.31791,0.99763
Windsor and Maidenhead,12,0.10531,0.30867,1.05043
Windsor and Maidenhead,13,0.09548,0.29974,1.10609
Windsor and Maidenhead,14,0.08656,0.29109,1.16473
Windsor and Maidenhead,15,0.07848,0.28271,1.22648
Windsor and Maidenhead,16,0.07116,0.27458,1.29152
Windsor and Maidenhead,17,0.06453,0.26669,1.36001
Windsor and Maidenhead,18,0.05852,0.25903,1.43212
Windsor and Maidenhead,19,0.05307,0.25159,1.50806
Windsor and Maidenhead,20,0.04812,0.24437,1.58803
Windsor and Maidenhead,21,0.04364,0.23735,1.67224
Wirral,1,1.25062,1.92627,2.94287
Wirral,2,1.26567,1.95979,3.01784
Wirral,3,1.24324,1.96310,3.11024
Wirral,4,1.19148,1.94231,3.21628
Wirral,5,1.12349,1.90748,3.33168
Wirral,6,1.04906,1.86587,3.45375
Wirral,7,0.97416,1.82172,3.58121
Wirral,8,0.90198,1.77718,3.71360
Wirral,9,0.83397,1.73324,3.85087
Wirral,10,0.77061,1.69028,3.99315
Wirral,11,0.71190,1.64841,4.14063
Wirral,12,0.65764,1.60762,4.29353
Wirral,13,0.60753,1.56787,4.45206
Wirral,14,0.56125,1.52914,4.61643
Wirral,15,0.51853,1.49138,4.78686
Wirral,16,0.47906,1.45456,4.96359
Wirral,17,0.44261,1.41865,5.14684
Wirral,18,0.40894,1.38363,5.33686
Wirral,19,0.37783,1.34947,5.53389
Wirral,20,0.34909,1.31616,5.73819
Wirral,21,0.32253,1.28367,5.95004
Wokingham,1,0.34917,0.61469,1.05273
Wokingham,2,0.42020,0.74420,1.28711
Wokingham,3,0.46267,0.83613,1.49332
Wokingham,4,0.47316,0.88379,1.65922
Wokingham,5,0.46192,0.90173,1.80294
Wokingham,6,0.43866,0.90325,1.94048
Wokingham,7,0.41002,0.89683,2.08136
Wokingham,8,0.37993,0.88710,2.23039
Wokingham,9,0.35047,0.87625,2.38986
Wokingham,10,0.32259,0.86521,2.56098
Wokingham,11,0.29665,0.85431,2.74462
Wokingham,12,0.27272,0.84363,2.94161
Wokingham,13,0.25070,0.83316,3.15282
Wokingham,14,0.23047,0.82286,3.37924
Wokingham,15,0.21189,0.81273,3.62193
Wokingham,16,0.19482,0.80273,3.88206
Wokingham,17,0.17913,0.79286,4.16087
Wokingham,18,0.16471,0.78312,4.45970
Wokingham,19,0.15146,0.77350,4.78000
Wokingham,20,0.13927,0.76400,5.12330
Wokingham,21,0.12807,0.75461,5.49125
Wolverhampton,1,0.92697,1.47258,2.22406
Wolverhampton,2,0.91884,1.46722,2.23170
Wolverhampton,3,0.89584,1.45821,2.27552
Wolverhampton,4,0.85358,1.43346,2.32772
Wolverhampton,5,0.79899,1.39647,2.38004
Wolverhampton,6,0.73905,1.35255,2.43094
Wolverhampton,7,0.67858,1.30569,2.48088
Wolverhampton,8,0.62040,1.25832,2.53060
Wolverhampton,9,0.56588,1.21172,2.58068
Wolverhampton,10,0.51552,1.16646,2.63146
Wolverhampton,11,0.46939,1.12278,2.68313
Wolverhampton,12,0.42729,1.08072,2.73578
Wolverhampton,13,0.38894,1.04025,2.78945
Wolverhampton,14,0.35403,1.00131,2.84417
Wolverhampton,15,0.32226,0.96384,2.89998
Wolverhampton,16,0.29335,0.92778,2.95688
Wolverhampton,17,0.26705,0.89307,3.01490
Wolverhampton,18,0.24310,0.85967,3.07406
Wolverhampton,19,0.22131,0.82751,3.13438
Wolverhampton,20,0.20146,0.79656,3.19589
Wolverhampton,21,0.18340,0.76677,3.25860
Worcestershire,1,1.44070,2.23650,3.32261
Worcestershire,2,1.46214,2.28077,3.41065
Worcestershire,3,1.44094,2.28812,3.50347
Worcestershire,4,1.38021,2.25652,3.58549
Worcestershire,5,1.29579,2.19967,3.65789
Worcestershire,6,1.20110,2.12975,3.72465
Worcestershire,7,1.10488,2.05467,3.78892
Worcestershire,8,1.01201,1.97882,3.85264
Worcestershire,9,0.92483,1.90438,3.91677
Worcestershire,10,0.84423,1.83225,3.98178
Worcestershire,11,0.77027,1.76275,4.04784
Worcestershire,12,0.70267,1.69591,4.11502
Worcestershire,13,0.64099,1.63165,4.18333
Worcestershire,14,0.58473,1.56986,4.25280
Worcestershire,15,0.53343,1.51044,4.32343
Worcestershire,16,0.48665,1.45329,4.39524
Worcestershire,17,0.44398,1.39831,4.46825
Worcestershire,18,0.40506,1.34541,4.54247
Worcestershire,19,0.36955,1.29452,4.61792
Worcestershire,20,0.33716,1.24555,4.69463
Worcestershire,21,0.30761,1.19844,4.77261
Wrexham,1,2.85715,4.22965,6.19391
Wrexham,2,2.60384,3.86766,5.69105
Wrexham,3,2.36198,3.55581,5.33141
Wrexham,4,2.12546,3.27355,5.06179
Wrexham,5,1.89920,3.01352,4.84286
Wrexham,6,1.68814,2.77285,4.65136
Wrexham,7,1.49517,2.55018,4.47509
Wrexham,8,1.32121,2.34452,4.30825
Wrexham,9,1.16584,2.15491,4.14831
Wrexham,10,1.02790,1.98032,3.99426
Wrexham,11,0.90588,1.81971,3.84569
Wrexham,12,0.79816,1.67205,3.70245
Wrexham,13,0.70317,1.53633,3.56440
Wrexham,14,0.61946,1.41161,3.43142
Wrexham,15,0.54571,1.29701,3.30334
Wrexham,16,0.48075,1.19171,3.18003
Wrexham,17,0.42352,1.09497,3.06131
Wrexham,18,0.37311,1.00607,2.94702
Wrexham,19,0.32871,0.92439,2.83699
Wrexham,20,0.28959,0.84935,2.73107
Wrexham,21,0.25512,0.78040,2.62910
York,1,0.41971,0.70994,1.17598
York,2,0.44615,0.75916,1.26951
York,3,0.46013,0.79954,1.38108
York,4,0.45481,0.81729,1.48313
York,5,0.43579,0.81789,1.57628
York,6,0.40931,0.80837,1.66570
York,7,0.37984,0.79376,1.75560
York,8,0.35007,0.77700,1.84847
York,9,0.32145,0.75961,1.94565
York,10,0.29463,0.74227,2.04784
York,11,0.26981,0.72525,2.15542
York,12,0.24700,0.70863,2.26871
York,13,0.22611,0.69242,2.38800
York,14,0.20698,0.67662,2.51359
York,15,0.18948,0.66119,2.64579
York,16,0.17347,0.64612,2.78494
York,17,0.15881,0.63140,2.93142
York,18,0.14540,0.61702,3.08560
York,19,0.13312,0.60297,3.24790
York,20,0.12188,0.58924,3.41873
York,21,0.11159,0.57582,3.59854
