area,Date,C_lower,C_median,C_upper
Ayrshire and Arran,2020-07-29,0.01765,0.10318,0.6673100000000001
Barking and Dagenham,2020-07-09,0.32272,0.5635,0.8865700000000001
Barking and Dagenham,2020-07-10,0.34326,0.60265,0.9550799999999999
Barking and Dagenham,2020-07-11,0.3561,0.63722,1.0352
Barking and Dagenham,2020-07-12,0.35243,0.65023,1.09735
Barking and Dagenham,2020-07-13,0.33636,0.64588,1.1429799999999999
Barking and Dagenham,2020-07-14,0.31329,0.631,1.17854
Barking and Dagenham,2020-07-15,0.28736,0.6107899999999999,1.20919
Barking and Dagenham,2020-07-16,0.26114,0.5884199999999999,1.23799
Barking and Dagenham,2020-07-17,0.23604,0.5656100000000001,1.2665
Barking and Dagenham,2020-07-18,0.21273000000000003,0.54319,1.29538
Barking and Dagenham,2020-07-19,0.19144,0.5215,1.32491
Barking and Dagenham,2020-07-20,0.17215,0.50065,1.3551600000000001
Barking and Dagenham,2020-07-21,0.15475999999999998,0.48063999999999996,1.38615
Barking and Dagenham,2020-07-22,0.13912,0.46146000000000004,1.41787
Barking and Dagenham,2020-07-23,0.12506,0.44306,1.45034
Barking and Dagenham,2020-07-24,0.11243,0.4254,1.48356
Barking and Dagenham,2020-07-25,0.10107000000000001,0.40845,1.51755
Barking and Dagenham,2020-07-26,0.09087,0.39218000000000003,1.55231
Barking and Dagenham,2020-07-27,0.0817,0.37656999999999996,1.5878700000000001
Barking and Dagenham,2020-07-28,0.07345,0.36157,1.62425
Barking and Dagenham,2020-07-29,0.06604,0.34717,1.66146
Barnet,2020-07-09,0.9527200000000001,1.5555299999999999,2.37082
Barnet,2020-07-10,0.94284,1.55024,2.3851
Barnet,2020-07-11,0.91179,1.53901,2.4497
Barnet,2020-07-12,0.8684200000000001,1.52912,2.5629
Barnet,2020-07-13,0.81966,1.52148,2.7086799999999998
Barnet,2020-07-14,0.7698,1.5155299999999998,2.8753900000000003
Barnet,2020-07-15,0.72114,1.51057,3.05708
Barnet,2020-07-16,0.67477,1.50613,3.25149
Barnet,2020-07-17,0.63108,1.50193,3.4583
Barnet,2020-07-18,0.59013,1.49784,3.6780199999999996
Barnet,2020-07-19,0.55183,1.4937799999999999,3.9114699999999996
Barnet,2020-07-20,0.51603,1.48974,4.15961
Barnet,2020-07-21,0.48258,1.4857,4.423430000000001
Barnet,2020-07-22,0.45131000000000004,1.4816799999999999,4.70394
Barnet,2020-07-23,0.42208,1.47766,5.0022400000000005
Barnet,2020-07-24,0.39474000000000004,1.47365,5.31944
Barnet,2020-07-25,0.36918,1.46965,5.65676
Barnet,2020-07-26,0.34526999999999997,1.46566,6.01547
Barnet,2020-07-27,0.32292,1.46169,6.39693
Barnet,2020-07-28,0.30201,1.4577200000000001,6.80258
Barnet,2020-07-29,0.28245,1.45376,7.23395
Barnsley,2020-07-09,3.4168300000000005,4.86149,6.88346
Barnsley,2020-07-10,3.15393,4.50465,6.412319999999999
Barnsley,2020-07-11,2.89285,4.1946,6.0953599999999994
Barnsley,2020-07-12,2.6409,3.9272099999999996,5.89933
Barnsley,2020-07-13,2.40331,3.6912,5.77435
Barnsley,2020-07-14,2.18282,3.47761,5.68549
Barnsley,2020-07-15,1.98032,3.28061,5.61304
Barnsley,2020-07-16,1.7955,3.0967599999999997,5.54726
Barnsley,2020-07-17,1.62742,2.92403,5.4839
Barnsley,2020-07-18,1.4748700000000001,2.76123,5.4214
Barnsley,2020-07-19,1.33655,2.60755,5.35933
Barnsley,2020-07-20,1.21119,2.4624200000000003,5.29767
Barnsley,2020-07-21,1.09759,2.32533,5.2365
Barnsley,2020-07-22,0.99465,2.19585,5.17592
Barnsley,2020-07-23,0.90138,2.07356,5.11597
Barnsley,2020-07-24,0.81686,1.95807,5.05668
Barnsley,2020-07-25,0.74026,1.8490099999999998,4.998069999999999
Barnsley,2020-07-26,0.67086,1.7460200000000001,4.94013
Barnsley,2020-07-27,0.6079600000000001,1.64877,4.88285
Barnsley,2020-07-28,0.55096,1.55693,4.82625
Barnsley,2020-07-29,0.4993,1.4702,4.7703
Bath and North East Somerset,2020-07-09,0.009940000000000001,0.018080000000000002,0.032260000000000004
Bath and North East Somerset,2020-07-10,0.03167,0.057710000000000004,0.10337
Bath and North East Somerset,2020-07-11,0.048010000000000004,0.08813,0.15991
Bath and North East Somerset,2020-07-12,0.05628,0.10505999999999999,0.19609000000000001
Bath and North East Somerset,2020-07-13,0.058539999999999995,0.11239,0.21953000000000003
Bath and North East Somerset,2020-07-14,0.05716,0.11419000000000001,0.23703000000000002
Bath and North East Somerset,2020-07-15,0.05389,0.1132,0.2526
Bath and North East Somerset,2020-07-16,0.04983,0.11098,0.26818000000000003
Bath and North East Somerset,2020-07-17,0.04559,0.10830999999999999,0.28457
Bath and North East Somerset,2020-07-18,0.04148,0.10555,0.30204000000000003
Bath and North East Somerset,2020-07-19,0.03764,0.10282000000000001,0.3207
Bath and North East Somerset,2020-07-20,0.03412,0.10017999999999999,0.34059
Bath and North East Somerset,2020-07-21,0.030910000000000003,0.09762,0.36175
Bath and North East Somerset,2020-07-22,0.028,0.09515,0.38425
Bath and North East Somerset,2020-07-23,0.02537,0.09274,0.40815
Bath and North East Somerset,2020-07-24,0.02299,0.09041,0.43354
Bath and North East Somerset,2020-07-25,0.02084,0.08813,0.46051000000000003
Bath and North East Somerset,2020-07-26,0.01888,0.08591,0.48916000000000004
Bath and North East Somerset,2020-07-27,0.01712,0.08375,0.51959
Bath and North East Somerset,2020-07-28,0.01551,0.08165,0.55192
Bath and North East Somerset,2020-07-29,0.01406,0.07959,0.58625
Bedford,2020-07-09,1.99725,2.98081,4.36419
Bedford,2020-07-10,1.79656,2.69369,3.9693199999999997
Bedford,2020-07-11,1.61055,2.46,3.71788
Bedford,2020-07-12,1.44641,2.27936,3.58773
Bedford,2020-07-13,1.3026799999999998,2.13598,3.5303400000000003
Bedford,2020-07-14,1.1761700000000002,2.01609,3.50999
Bedford,2020-07-15,1.06388,1.9106599999999998,3.5060800000000003
Bedford,2020-07-16,0.96346,1.81446,3.5083699999999998
Bedford,2020-07-17,0.8731700000000001,1.72471,3.5124199999999997
Bedford,2020-07-18,0.79166,1.6399700000000001,3.5166
Bedford,2020-07-19,0.7179300000000001,1.55956,3.5204800000000005
Bedford,2020-07-20,0.65113,1.48309,3.52405
Bedford,2020-07-21,0.59058,1.4103299999999999,3.5274
Bedford,2020-07-22,0.53566,1.3411,3.53062
Bedford,2020-07-23,0.48586,1.27524,3.53378
Bedford,2020-07-24,0.44068,1.21259,3.53692
Bedford,2020-07-25,0.3997,1.15301,3.54005
Bedford,2020-07-26,0.36253,1.09636,3.54317
Bedford,2020-07-27,0.32882,1.0424799999999999,3.5463
Bedford,2020-07-28,0.29824,0.99125,3.54943
Bedford,2020-07-29,0.27051,0.9425399999999999,3.5525599999999997
Bexley,2020-07-09,0.96531,1.5180799999999999,2.36705
Bexley,2020-07-10,1.10633,1.75025,2.75398
Bexley,2020-07-11,1.19508,1.92935,3.12833
Bexley,2020-07-12,1.22056,2.0352200000000003,3.4542300000000004
Bexley,2020-07-13,1.20265,2.09114,3.75403
Bexley,2020-07-14,1.16057,2.11955,4.05098
Bexley,2020-07-15,1.10732,2.1348599999999998,4.35989
Bexley,2020-07-16,1.0504200000000001,2.1447700000000003,4.6888
Bexley,2020-07-17,0.99374,2.15287,5.04197
Bexley,2020-07-18,0.9390700000000001,2.1606099999999997,5.42204
Bexley,2020-07-19,0.88707,2.16847,5.83115
Bexley,2020-07-20,0.83791,2.17653,6.27137
Bexley,2020-07-21,0.79151,2.18476,6.744960000000001
Bexley,2020-07-22,0.74773,2.19311,7.25438
Bexley,2020-07-23,0.70641,2.20154,7.802289999999999
Bexley,2020-07-24,0.6674100000000001,2.21002,8.391589999999999
Bexley,2020-07-25,0.63057,2.21854,9.0254
Bexley,2020-07-26,0.59578,2.2271099999999997,9.707089999999999
Bexley,2020-07-27,0.56291,2.2357,10.44026
Bexley,2020-07-28,0.53185,2.2443299999999997,11.2288
Bexley,2020-07-29,0.50251,2.253,12.0769
Birmingham,2020-07-09,6.74005,9.23686,12.67
Birmingham,2020-07-10,6.54024,9.00613,12.43481
Birmingham,2020-07-11,6.304180000000001,8.83872,12.5005
Birmingham,2020-07-12,6.041519999999999,8.71772,12.791789999999999
Birmingham,2020-07-13,5.76803,8.6236,13.21415
Birmingham,2020-07-14,5.495080000000001,8.54314,13.706710000000001
Birmingham,2020-07-15,5.22921,8.469,14.238470000000001
Birmingham,2020-07-16,4.9736,8.39757,14.79635
Birmingham,2020-07-17,4.7294599999999996,8.32733,15.376179999999998
Birmingham,2020-07-18,4.497,8.25769,15.97758
Birmingham,2020-07-19,4.275930000000001,8.18853,16.60144
Birmingham,2020-07-20,4.06576,8.11983,17.24899
Birmingham,2020-07-21,3.8659800000000004,8.051630000000001,17.921429999999997
Birmingham,2020-07-22,3.67605,7.983960000000001,18.61993
Birmingham,2020-07-23,3.49549,7.91683,19.345579999999998
Birmingham,2020-07-24,3.3238,7.8502600000000005,20.09948
Birmingham,2020-07-25,3.16056,7.78423,20.88277
Birmingham,2020-07-26,3.0053400000000003,7.71877,21.69657
Birmingham,2020-07-27,2.85774,7.65385,22.542089999999998
Birmingham,2020-07-28,2.71739,7.58948,23.42057
Birmingham,2020-07-29,2.58394,7.52565,24.33328
Blackburn with Darwen,2020-07-09,6.558330000000001,8.93379,12.46798
Blackburn with Darwen,2020-07-10,6.82817,9.35665,13.17291
Blackburn with Darwen,2020-07-11,6.97393,9.75966,14.161629999999999
Blackburn with Darwen,2020-07-12,7.01739,10.14523,15.39042
Blackburn with Darwen,2020-07-13,6.99984,10.52597,16.80659
Blackburn with Darwen,2020-07-14,6.95136,10.911430000000001,18.38387
Blackburn with Darwen,2020-07-15,6.889289999999999,11.30715,20.11746
Blackburn with Darwen,2020-07-16,6.82238,11.71599,22.01491
Blackburn with Darwen,2020-07-17,6.754460000000001,12.13942,24.0899
Blackburn with Darwen,2020-07-18,6.687010000000001,12.57826,26.35919
Blackburn with Darwen,2020-07-19,6.620439999999999,13.03309,28.841479999999997
Blackburn with Darwen,2020-07-20,6.5547699999999995,13.50446,31.55718
Blackburn with Darwen,2020-07-21,6.48994,13.992939999999999,34.52844
Blackburn with Darwen,2020-07-22,6.42585,14.499120000000001,37.7794
Blackburn with Darwen,2020-07-23,6.36246,15.023620000000001,41.33645
Blackburn with Darwen,2020-07-24,6.29972,15.5671,45.2284
Blackburn with Darwen,2020-07-25,6.23762,16.13024,49.48679
Blackburn with Darwen,2020-07-26,6.176130000000001,16.71376,54.14613000000001
Blackburn with Darwen,2020-07-27,6.11524,17.318379999999998,59.24416
Blackburn with Darwen,2020-07-28,6.0549599999999995,17.94487,64.82219
Blackburn with Darwen,2020-07-29,5.99527,18.59403,70.9254
Blackpool,2020-07-09,0.83599,1.32233,2.06928
Blackpool,2020-07-10,0.7903100000000001,1.2573,1.98491
Blackpool,2020-07-11,0.74422,1.21041,1.97428
Blackpool,2020-07-12,0.69517,1.17201,2.0101299999999998
Blackpool,2020-07-13,0.6450199999999999,1.13768,2.07042
Blackpool,2020-07-14,0.5957399999999999,1.1053899999999999,2.14253
Blackpool,2020-07-15,0.5486800000000001,1.07429,2.22047
Blackpool,2020-07-16,0.50451,1.04407,2.3019
Blackpool,2020-07-17,0.46348999999999996,1.01463,2.38612
Blackpool,2020-07-18,0.42563,0.9859600000000001,2.4731
Blackpool,2020-07-19,0.39079,0.95806,2.56301
Blackpool,2020-07-20,0.35878000000000004,0.9309200000000001,2.65605
Blackpool,2020-07-21,0.32938,0.90454,2.7524
Blackpool,2020-07-22,0.3024,0.87889,2.85221
Blackpool,2020-07-23,0.27763000000000004,0.8539700000000001,2.9556299999999998
Blackpool,2020-07-24,0.25489,0.82976,3.06279
Blackpool,2020-07-25,0.23401999999999998,0.80623,3.17384
Blackpool,2020-07-26,0.21486,0.78337,3.28891
Blackpool,2020-07-27,0.19726,0.7611600000000001,3.4081599999999996
Blackpool,2020-07-28,0.18111,0.73958,3.5317300000000005
Blackpool,2020-07-29,0.16627999999999998,0.7186100000000001,3.6597800000000005
Blaenau Gwent,2020-07-09,0.28265,0.49604,0.84859
Blaenau Gwent,2020-07-10,0.26919,0.47528000000000004,0.8211799999999999
Blaenau Gwent,2020-07-11,0.25399,0.45893,0.82247
Blaenau Gwent,2020-07-12,0.23596999999999999,0.44285,0.8398399999999999
Blaenau Gwent,2020-07-13,0.21645,0.42641999999999997,0.8651399999999999
Blaenau Gwent,2020-07-14,0.19679000000000002,0.40985,0.8941100000000001
Blaenau Gwent,2020-07-15,0.17789000000000002,0.39343,0.9248799999999999
Blaenau Gwent,2020-07-16,0.16025999999999999,0.3774,0.95678
Blaenau Gwent,2020-07-17,0.14407999999999999,0.36188000000000003,0.98964
Blaenau Gwent,2020-07-18,0.1294,0.34695,1.0235100000000001
Blaenau Gwent,2020-07-19,0.11615,0.3326,1.05844
Blaenau Gwent,2020-07-20,0.10424000000000001,0.31884,1.0945200000000002
Blaenau Gwent,2020-07-21,0.09354,0.30564,1.13181
Blaenau Gwent,2020-07-22,0.08392999999999999,0.29299000000000003,1.17036
Blaenau Gwent,2020-07-23,0.07532,0.28087,1.21022
Blaenau Gwent,2020-07-24,0.06759,0.26925,1.2514299999999998
Blaenau Gwent,2020-07-25,0.06065,0.25811,1.29405
Blaenau Gwent,2020-07-26,0.05442999999999999,0.24743,1.33812
Blaenau Gwent,2020-07-27,0.048839999999999995,0.23719,1.3836899999999999
Blaenau Gwent,2020-07-28,0.04383,0.22738000000000003,1.4308100000000001
Blaenau Gwent,2020-07-29,0.03934,0.21796999999999997,1.47953
Bolton,2020-07-09,5.75833,8.05598,11.21439
Bolton,2020-07-10,5.630809999999999,7.91878,11.10223
Bolton,2020-07-11,5.43076,7.7884199999999995,11.20782
Bolton,2020-07-12,5.201630000000001,7.69756,11.52785
Bolton,2020-07-13,4.96582,7.638310000000001,11.98685
Bolton,2020-07-14,4.73404,7.598160000000001,12.52713
Bolton,2020-07-15,4.5108,7.56791,13.116970000000002
Bolton,2020-07-16,4.2975900000000005,7.5422,13.742320000000001
Bolton,2020-07-17,4.0945599999999995,7.5183100000000005,14.398589999999999
Bolton,2020-07-18,3.90136,7.49503,15.085410000000001
Bolton,2020-07-19,3.7174699999999996,7.47191,15.80405
Bolton,2020-07-20,3.54238,7.4488,16.55629
Bolton,2020-07-21,3.3756199999999996,7.425680000000001,17.34398
Bolton,2020-07-22,3.21676,7.402589999999999,18.16897
Bolton,2020-07-23,3.0653900000000003,7.3795399999999995,19.03313
Bolton,2020-07-24,2.92116,7.35654,19.93836
Bolton,2020-07-25,2.7837099999999997,7.3336,20.88665
Bolton,2020-07-26,2.65274,7.31073,21.880029999999998
Bolton,2020-07-27,2.52792,7.28793,22.92067
Bolton,2020-07-28,2.40898,7.2652,24.01079
Bolton,2020-07-29,2.29564,7.24255,25.15277
Borders,2020-07-09,0.0026100000000000003,0.00484,0.00869
Borders,2020-07-10,0.00193,0.00361,0.00659
Borders,2020-07-11,0.00148,0.0028899999999999998,0.00565
Borders,2020-07-12,0.00119,0.00251,0.00545
Borders,2020-07-13,0.001,0.00231,0.00562
Borders,2020-07-14,0.0008699999999999999,0.0022,0.00594
Borders,2020-07-15,0.0007700000000000001,0.00213,0.00632
Borders,2020-07-16,0.0006900000000000001,0.00207,0.00673
Borders,2020-07-17,0.00062,0.00202,0.00715
Borders,2020-07-18,0.00056,0.00197,0.0076
Borders,2020-07-19,0.0005099999999999999,0.0019199999999999998,0.00807
Borders,2020-07-20,0.00045999999999999996,0.00187,0.00856
Borders,2020-07-21,0.00041,0.00182,0.00909
Borders,2020-07-22,0.00037,0.0017699999999999999,0.009640000000000001
Borders,2020-07-23,0.00033999999999999997,0.00172,0.01023
Borders,2020-07-24,0.00031,0.00168,0.01086
Borders,2020-07-25,0.00028,0.0016300000000000002,0.01152
Borders,2020-07-26,0.00025,0.00159,0.01223
Borders,2020-07-27,0.00022999999999999998,0.00155,0.012980000000000002
Borders,2020-07-28,0.0002,0.00151,0.01377
Borders,2020-07-29,0.00018,0.00147,0.01462
"Bournemouth, Christchurch and Poole",2020-07-09,0.32184,0.56215,0.94726
"Bournemouth, Christchurch and Poole",2020-07-10,0.32029,0.56298,0.95819
"Bournemouth, Christchurch and Poole",2020-07-11,0.30585999999999997,0.55062,0.97224
"Bournemouth, Christchurch and Poole",2020-07-12,0.28522,0.53435,0.9993799999999999
"Bournemouth, Christchurch and Poole",2020-07-13,0.26237,0.51748,1.037
"Bournemouth, Christchurch and Poole",2020-07-14,0.23953000000000002,0.5011,1.08146
"Bournemouth, Christchurch and Poole",2020-07-15,0.2178,0.48546000000000006,1.1303
"Bournemouth, Christchurch and Poole",2020-07-16,0.19766,0.47052,1.1823
"Bournemouth, Christchurch and Poole",2020-07-17,0.17922000000000002,0.45619,1.23696
"Bournemouth, Christchurch and Poole",2020-07-18,0.16245,0.4424,1.29417
"Bournemouth, Christchurch and Poole",2020-07-19,0.14724,0.42906000000000005,1.35398
"Bournemouth, Christchurch and Poole",2020-07-20,0.13346,0.41615,1.41652
"Bournemouth, Christchurch and Poole",2020-07-21,0.12097000000000001,0.40364,1.4819200000000001
