,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26
"North Devon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,4,6,1,1,0,1,5,2,2,0,4,2,3,8,3,0,4,5,4,1,5,2,0,5,2,12,6,3,1,1,0,3,0,0,0,0,6,2,0,0,1,0,2,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,2,0,0,0,0,0,1,1,0,1,1,1,1,3,2,0,1,0,0,3,0,2,0,0,0,0,0,2,2,1,0,0,1,1,2,0,0,0,0,0,0
"North East Derbyshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,1,3,2,1,1,2,2,2,7,5,4,4,4,7,5,4,7,13,4,6,4,0,3,6,5,1,5,6,5,8,9,8,8,10,6,6,8,9,6,10,21,11,17,17,3,15,8,8,3,13,9,11,23,9,10,9,3,8,8,5,11,3,10,4,15,6,17,7,20,0,3,3,0,3,0,2,1,0,3,1,1,2,4,1,4,3,3,3,1,3,2,3,2,2,1,2,1,2,2,1,2,0,1,1,1,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,1,1,2,2,0,1,0,1,0,2,3,1,0,1,1,3,1,1,2,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,4,1,4,1,1,3,4,3,3,8,3,6,4,4,1,4,4,4,3,6,6,5,6,8,1,2,3,2,1,0,0,0
"North East Lincolnshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,4,5,3,3,1,3,4,2,5,1,10,3,2,6,3,4,4,4,5,2,4,6,0,1,9,2,1,4,2,7,9,4,2,1,6,4,1,1,1,0,0,1,2,1,1,1,1,4,2,0,0,1,1,3,1,0,3,0,2,1,3,1,3,2,0,2,1,0,0,0,1,1,1,0,1,2,1,2,2,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,2,1,0,0,0,0,1,1,1,0,1,0,0,2,2,2,2,0,1,1,0,1,0,1,0,0,2,0,2,1,0,3,2,0,0,1,2,3,1,5,0,1,2,1,1,4,0,5,0,3,3,4,8,7,7,7,5,2,0,1,0,0,0
"North Hertfordshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,1,0,2,2,5,4,4,1,8,9,7,5,1,6,2,7,6,4,6,7,5,1,2,1,4,5,4,9,3,7,5,6,6,4,6,3,3,6,3,10,6,20,6,4,23,9,8,2,3,12,3,5,2,10,1,3,3,2,2,0,2,0,7,1,2,1,0,1,0,1,0,0,3,1,3,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,2,1,0,0,0,0,2,0,2,2,1,0,1,1,4,1,2,0,2,3,1,1,1,2,0,2,1,1,0,3,0,4,4,4,4,3,4,3,3,3,5,1,3,6,2,0,2,2,4,5,2,4,2,0,0,0,0,0
"North Kesteven",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,4,4,1,5,8,6,6,7,4,6,2,8,5,6,8,2,1,2,2,2,1,1,4,1,3,3,1,2,3,0,4,1,3,2,5,1,0,7,6,0,0,1,2,1,0,2,1,1,4,7,10,3,1,1,2,1,4,8,0,1,0,9,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,1,1,3,3,5,6,1,2,8,3,7,5,3,8,2,2,1,3,8,0,5,1,2,4,2,5,7,2,1,0,0,0,0
"North Lincolnshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,1,3,3,2,2,6,3,7,8,4,13,4,0,7,5,10,17,3,16,8,7,16,16,12,19,12,7,18,15,18,23,22,7,24,11,20,18,23,23,18,13,7,17,12,9,5,4,4,15,15,16,8,12,11,9,12,7,9,14,8,8,3,5,1,2,4,0,1,4,3,1,1,0,0,0,1,1,0,2,2,1,0,3,1,1,2,0,0,0,0,3,0,0,1,1,0,1,2,1,2,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,2,0,0,1,0,0,0,1,0,1,0,0,1,2,0,2,0,1,1,1,1,3,1,0,1,3,2,1,3,2,2,1,2,1,3,7,5,2,2,7,7,4,1,4,5,5,5,5,10,10,6,8,7,6,4,5,2,4,0,0,0,0
"North Norfolk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,1,1,1,2,2,0,2,3,3,3,2,3,3,4,2,3,6,2,4,2,2,1,1,4,3,3,1,4,0,2,0,2,2,16,10,0,1,0,3,4,3,3,2,2,8,2,4,6,5,2,3,4,23,2,2,0,2,0,4,4,6,3,0,2,0,0,3,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
"North Somerset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,2,1,0,0,1,7,3,6,2,4,8,4,8,7,8,6,4,6,3,5,11,4,7,1,5,5,9,3,18,6,4,5,11,24,22,17,12,8,17,21,31,27,23,16,12,14,12,28,15,23,14,11,23,14,24,7,12,10,12,24,18,43,17,21,17,4,12,10,8,5,4,9,13,6,1,2,3,5,0,2,0,0,2,1,2,1,2,1,0,0,0,0,1,1,2,1,0,0,1,0,0,1,1,1,0,0,0,2,0,1,1,0,0,0,1,0,2,1,0,1,1,1,1,0,0,0,3,0,0,1,3,2,0,1,1,0,2,0,0,0,0,1,1,0,4,2,0,0,0,0,0,0,2,2,0,7,1,5,4,4,1,7,5,9,0,4,3,7,5,3,4,3,9,2,3,6,7,4,7,8,4,12,2,7,1,3,0,0,1,0,0
"North Tyneside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,1,1,4,3,3,0,2,4,4,4,6,11,17,7,3,19,35,14,13,24,18,32,26,18,16,8,16,7,15,13,16,21,24,21,17,11,14,25,14,20,8,8,15,12,11,28,9,6,7,7,11,15,10,26,9,8,13,5,18,10,9,0,11,5,6,16,11,7,11,2,2,1,2,1,2,4,2,2,2,5,2,2,2,2,2,1,3,1,4,2,1,2,1,0,2,2,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,2,0,1,1,1,0,0,0,0,0,1,2,1,1,0,0,1,0,2,0,1,0,0,0,1,0,2,2,0,0,1,3,1,2,1,1,2,2,2,4,2,1,1,0,0,2,3,4,3,3,5,5,6,8,7,3,9,7,19,14,10,17,22,14,10,19,17,15,15,25,29,28,28,36,36,39,29,33,18,9,8,6,0,0
"North Warwickshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,1,1,3,2,1,6,5,1,2,1,5,8,2,3,5,11,3,5,3,5,2,4,2,4,2,1,3,6,6,18,2,11,3,3,7,4,5,9,2,1,6,4,7,3,0,1,2,2,4,3,6,4,2,1,2,6,3,3,2,2,1,2,10,7,4,5,0,3,3,3,2,1,1,1,3,2,3,1,0,4,1,1,4,4,0,5,1,1,2,1,1,2,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,2,0,1,0,0,1,2,0,0,1,0,0,0,0,1,0,2,0,1,0,0,1,2,0,0,0,0,2,0,0,0,0,2,1,0,2,2,0,1,0,1,3,3,3,0,1,0,1,2,0,2,2,6,2,3,2,2,1,2,2,2,1,0,0,0,0,0
